signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
scanner:GRANGX.ST:big_move:2026-08-05,scanner,GRANGX.ST,big_move,2026-08-05,SE,5,0.0,-1.0683,1.0683
scanner:AMD:volume_spike:2026-08-05,scanner,AMD,volume_spike,2026-08-05,US,5,0.1826,0.3507,-0.1682
scanner:LLY:volume_spike:2026-08-05,scanner,LLY,volume_spike,2026-08-05,US,5,4.3099,0.3507,3.9592
scanner:NVDA:volume_spike:2026-08-05,scanner,NVDA,volume_spike,2026-08-05,US,5,2.2215,0.3507,1.8708
pead:LUG.ST:entry:2026-08-05,pead,LUG.ST,entry,2026-08-05,SE,5,8.2625,-1.0683,9.3307
pead:LUMI.ST:entry:2026-08-05,pead,LUMI.ST,entry,2026-08-05,SE,5,-3.2749,-1.0683,-2.2067
scanner:GRANGX.ST:big_move:2026-08-11,scanner,GRANGX.ST,big_move,2026-08-11,SE,1,0.0,-0.1702,0.1702
scanner:SIVE.ST:big_move:2026-08-11,scanner,SIVE.ST,big_move,2026-08-11,SE,1,2.2115,-0.1702,2.3817
scanner:MORROW.ST:volume_spike:2026-08-11,scanner,MORROW.ST,volume_spike,2026-08-11,SE,1,1.1994,-0.1702,1.3696
exits:GOOGL:ma50_break:2026-08-11,exits,GOOGL,ma50_break,2026-08-11,US,1,-0.0756,0.2505,-0.3261
exits:MS:ma50_break:2026-08-11,exits,MS,ma50_break,2026-08-11,US,1,1.195,0.2505,0.9445
scanner:MYCR.ST:big_move:2026-07-14,scanner,MYCR.ST,big_move,2026-07-14,SE,20,-3.6557,4.066,-7.7217
scanner:SIVE.ST:big_move:2026-07-14,scanner,SIVE.ST,big_move,2026-07-14,SE,20,0.1885,4.066,-3.8775
scanner:ERIC-B.ST:volume_spike:2026-07-14,scanner,ERIC-B.ST,volume_spike,2026-07-14,SE,20,-0.7713,4.066,-4.8373
scanner:MYCR.ST:volume_spike:2026-07-14,scanner,MYCR.ST,volume_spike,2026-07-14,SE,20,-3.6557,4.066,-7.7217
scanner:HTRO.ST:volume_spike:2026-07-14,scanner,HTRO.ST,volume_spike,2026-07-14,SE,20,19.2105,4.066,15.1445
scanner:EPIS-B.ST:big_move:2026-07-14,scanner,EPIS-B.ST,big_move,2026-07-14,SE,20,-4.2345,4.066,-8.3006
scanner:AMD:big_move:2026-07-14,scanner,AMD,big_move,2026-07-14,US,20,-13.4658,2.4913,-15.957
scanner:GS:volume_spike:2026-07-14,scanner,GS,volume_spike,2026-07-14,US,20,-9.2623,2.4913,-11.7535
pead:AQ.ST:entry:2026-07-14,pead,AQ.ST,entry,2026-07-14,SE,20,-6.1333,4.066,-10.1994
pead:LIME.ST:entry:2026-07-14,pead,LIME.ST,entry,2026-07-14,SE,20,2.7335,4.066,-1.3325
pead:MYCR.ST:entry:2026-07-14,pead,MYCR.ST,entry,2026-07-14,SE,20,-3.6557,4.066,-7.7217
breakout:MYCR.ST:breakout:2026-07-14,breakout,MYCR.ST,breakout,2026-07-14,SE,20,-3.6557,4.066,-7.7217
scanner:GRANGX.ST:big_move:2026-08-06,scanner,GRANGX.ST,big_move,2026-08-06,SE,5,0.0,-1.2531,1.2531
scanner:SIVE.ST:big_move:2026-08-06,scanner,SIVE.ST,big_move,2026-08-06,SE,5,10.3542,-1.2531,11.6073
scanner:LUMI.ST:volume_spike:2026-08-06,scanner,LUMI.ST,volume_spike,2026-08-06,SE,5,-6.0524,-1.2531,-4.7994
scanner:SPRINT.ST:volume_spike:2026-08-06,scanner,SPRINT.ST,volume_spike,2026-08-06,SE,5,-0.2924,-1.2531,0.9607
scanner:GRANGX.ST:big_move:2026-08-12,scanner,GRANGX.ST,big_move,2026-08-12,SE,1,0.0,-0.3017,0.3017
scanner:NOKIA-SEK.ST:volume_spike:2026-08-12,scanner,NOKIA-SEK.ST,volume_spike,2026-08-12,SE,1,3.3562,-0.3017,3.6579
scanner:SIVE.ST:big_move:2026-08-12,scanner,SIVE.ST,big_move,2026-08-12,SE,1,-4.7507,-0.3017,-4.449
scanner:SPRINT.ST:volume_spike:2026-08-12,scanner,SPRINT.ST,volume_spike,2026-08-12,SE,1,5.5728,-0.3017,5.8745
breakout:SEYE.ST:breakout:2026-08-12,breakout,SEYE.ST,breakout,2026-08-12,SE,1,0.6085,-0.3017,0.9102
stocks:VESTUM.ST:buy:2026-07-01,stocks,VESTUM.ST,buy,2026-07-01,SE,20,4.3423,4.0541,0.2882
scanner:ERIC-B.ST:big_move:2026-07-15,scanner,ERIC-B.ST,big_move,2026-07-15,SE,20,0.8222,4.1449,-3.3227
scanner:MYCR.ST:big_move:2026-07-15,scanner,MYCR.ST,big_move,2026-07-15,SE,20,-3.4144,4.1449,-7.5593
scanner:NCAB.ST:big_move:2026-07-15,scanner,NCAB.ST,big_move,2026-07-15,SE,20,2.2697,4.1449,-1.8752
scanner:HTRO.ST:volume_spike:2026-07-15,scanner,HTRO.ST,volume_spike,2026-07-15,SE,20,-5.625,4.46,-10.085
scanner:MYCR.ST:volume_spike:2026-07-15,scanner,MYCR.ST,volume_spike,2026-07-15,SE,20,-3.4144,4.1449,-7.5593
