signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
stocks:CAT:buy:2026-06-15,stocks,CAT,buy,2026-06-15,US,20,-2.1019,0.255,-2.3568
stocks:CSCO:buy:2026-06-15,stocks,CSCO,buy,2026-06-15,US,20,-6.6422,0.255,-6.8971
stocks:QCOM:buy:2026-06-15,stocks,QCOM,buy,2026-06-15,US,20,-19.3968,0.255,-19.6517
stocks:TXN:buy:2026-06-15,stocks,TXN,buy,2026-06-15,US,20,-3.8776,0.255,-4.1325
stocks:GOOGL:buy:2026-06-15,stocks,GOOGL,buy,2026-06-15,US,20,0.4251,0.255,0.1701
stocks:AVGO:buy:2026-06-15,stocks,AVGO,buy,2026-06-15,US,20,0.2447,0.255,-0.0103
stocks:GS:buy:2026-06-15,stocks,GS,buy,2026-06-15,US,20,7.0528,0.255,6.7978
stocks:MS:buy:2026-06-15,stocks,MS,buy,2026-06-15,US,20,4.8491,0.255,4.5941
stocks:ORCL:buy:2026-06-15,stocks,ORCL,buy,2026-06-15,US,20,-30.9848,0.255,-31.2397
scanner:EPIS-B.ST:big_move:2026-07-08,scanner,EPIS-B.ST,big_move,2026-07-08,SE,5,-5.5891,0.2029,-5.792
scanner:SIVE.ST:big_move:2026-07-08,scanner,SIVE.ST,big_move,2026-07-08,SE,5,0.7622,0.2029,0.5593
scanner:CHEF.ST:big_move:2026-07-08,scanner,CHEF.ST,big_move,2026-07-08,SE,5,0.6309,0.2029,0.428
scanner:NOKIA-SEK.ST:big_move:2026-07-08,scanner,NOKIA-SEK.ST,big_move,2026-07-08,SE,5,-5.0616,0.2029,-5.2645
scanner:HTRO.ST:big_move:2026-07-08,scanner,HTRO.ST,big_move,2026-07-08,SE,5,29.4964,0.2029,29.2935
scanner:EPIS-B.ST:volume_spike:2026-07-08,scanner,EPIS-B.ST,volume_spike,2026-07-08,SE,5,-5.5891,0.2029,-5.792
scanner:NCAB.ST:big_move:2026-07-08,scanner,NCAB.ST,big_move,2026-07-08,SE,5,4.3175,0.2029,4.1146
scanner:AVGO:big_move:2026-07-08,scanner,AVGO,big_move,2026-07-08,US,5,1.4382,1.2624,0.1758
scanner:MYCR.ST:big_move:2026-07-14,scanner,MYCR.ST,big_move,2026-07-14,SE,1,1.8868,-0.3772,2.264
scanner:SIVE.ST:big_move:2026-07-14,scanner,SIVE.ST,big_move,2026-07-14,SE,1,-6.5504,-0.3772,-6.1732
scanner:ERIC-B.ST:volume_spike:2026-07-14,scanner,ERIC-B.ST,volume_spike,2026-07-14,SE,1,-1.2584,-0.3772,-0.8812
scanner:MYCR.ST:volume_spike:2026-07-14,scanner,MYCR.ST,volume_spike,2026-07-14,SE,1,1.8868,-0.3772,2.264
scanner:HTRO.ST:volume_spike:2026-07-14,scanner,HTRO.ST,volume_spike,2026-07-14,SE,1,26.3158,-0.3772,26.693
scanner:EPIS-B.ST:big_move:2026-07-14,scanner,EPIS-B.ST,big_move,2026-07-14,SE,1,1.7915,-0.3772,2.1687
scanner:AMD:big_move:2026-07-14,scanner,AMD,big_move,2026-07-14,US,1,-3.4645,0.3964,-3.8609
scanner:GS:volume_spike:2026-07-14,scanner,GS,volume_spike,2026-07-14,US,1,1.0588,0.3964,0.6624
